Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AddressChange_Claim,NumberOfCars,BasePolicy,VehiclePrice,PastNumberOfClaims,FraudFound_P
Sep,3,Monday,Chevrolet,Urban,Tuesday,Sep,3,Male,Married,46,Policy Holder,Sedan,13236,9,400,2,6 years,41 to 50,Yes,No,no change,1,Collision,21530,0,0
Sep,3,Thursday,Chevrolet,Urban,Tuesday,Sep,3,Female,Single,38,Third Party,Sport,13237,1,400,4,more than 7,36 to 40,No,No,no change,1,Liability,29457,2,0
Jun,5,Friday,Chevrolet,Urban,Thursday,Jul,2,Male,Single,56,Third Party,Sedan,13238,4,700,3,more than 7,51 to 65,No,No,no change,1,Collision,22410,6,0
Sep,3,Thursday,Pontiac,Urban,Friday,Sep,3,Male,Married,57,Policy Holder,Sedan,13239,16,400,3,more than 7,51 to 65,No,No,no change,1,Collision,23720,1,0
Sep,2,Sunday,Pontiac,Urban,Friday,Sep,3,Female,Single,29,Policy Holder,Sedan,13240,16,400,3,5 years,31 to 35,No,No,no change,1,Collision,27466,1,0
Sep,2,Friday,Honda,Urban,Monday,Nov,3,Male,Married,26,Policy Holder,Sedan,13241,5,400,3,6 years,31 to 35,No,No,no change,1,Collision,22167,2,0
Jun,5,Friday,Chevrolet,Urban,Tuesday,Jul,1,Male,Single,30,Policy Holder,Sedan,13242,4,400,3,7 years,31 to 35,No,No,no change,1,All Perils,27459,1,1
May,2,Thursday,Toyota,Urban,Tuesday,May,3,Female,Single,34,Policy Holder,Sedan,13243,8,400,3,6 years,31 to 35,Yes,No,no change,1,Collision,28136,10,0
May,2,Wednesday,Mazda,Urban,Thursday,May,2,Male,Divorced,26,Policy Holder,Sedan,13244,7,400,4,7 years,31 to 35,No,No,no change,4,Collision,22657,0,0
Jun,5,Friday,Pontiac,Urban,Monday,Jul,1,Male,Married,65,Third Party,Sedan,13245,9,400,3,7 years,51 to 65,No,No,no change,1,All Perils,31275,3,0
May,1,Saturday,Pontiac,Urban,Friday,May,2,Male,Single,32,Policy Holder,Sport,13246,6,400,2,5 years,31 to 35,No,No,no change,1,Liability,21776,1,0
Jun,5,Friday,Honda,Urban,Wednesday,Jul,1,Male,Married,59,Policy Holder,Sedan,13247,11,400,3,more than 7,51 to 65,No,No,no change,1,Collision,30057,4,1
Jun,5,Friday,Mazda,Urban,Wednesday,Jul,1,Male,Single,27,Third Party,Sedan,13248,7,400,2,6 years,31 to 35,No,No,no change,1,Collision,26691,3,0
Apr,3,Friday,Chevrolet,Rural,Monday,Apr,3,Male,Single,27,Third Party,Sedan,13249,6,400,3,5 years,31 to 35,No,No,no change,1,Collision,29681,1,0
Dec,2,Sunday,Mazda,Urban,Monday,Dec,2,Male,Married,67,Policy Holder,Sport,13250,7,400,4,7 years,over 65,No,No,no change,1,Liability,36129,1,0
Jul,1,Saturday,Pontiac,Urban,Tuesday,Jul,2,Male,Single,26,Third Party,Sedan,13251,11,400,3,7 years,31 to 35,No,No,no change,1,Collision,36038,8,0
Nov,2,Tuesday,Honda,Urban,Thursday,Nov,2,Male,Married,26,Third Party,Sedan,13252,4,400,2,7 years,31 to 35,No,No,no change,1,Collision,39913,0,0
Sep,5,Thursday,Mazda,Urban,Thursday,Sep,5,Female,Married,49,Policy Holder,Sport,13253,15,400,3,7 years,41 to 50,No,No,no change,1,Liability,35729,1,0
Sep,5,Thursday,Mercury,Urban,Monday,Oct,1,Female,Married,49,Policy Holder,Sedan,13254,9,400,3,7 years,41 to 50,No,No,no change,1,Collision,79208,1,0
Sep,4,Tuesday,Chevrolet,Urban,Tuesday,Oct,1,Male,Married,43,Policy Holder,Sport,13255,9,400,2,7 years,36 to 40,No,No,no change,1,Liability,33099,0,0
Sep,1,Thursday,Toyota,Rural,Friday,Sep,1,Male,Single,31,Third Party,Sport,13256,15,400,1,6 years,31 to 35,No,No,no change,1,Liability,29437,3,0
Jul,1,Monday,Mazda,Urban,Monday,Jul,1,Male,Married,21,Policy Holder,Sedan,13257,15,400,4,6 years,26 to 30,No,No,no change,1,Collision,37722,4,0
May,3,Wednesday,Pontiac,Urban,Wednesday,May,3,Male,Single,27,Policy Holder,Sport,13258,8,400,2,6 years,31 to 35,No,No,no change,1,Liability,29965,2,0
May,1,Thursday,Pontiac,Urban,Thursday,May,1,Male,Married,45,Policy Holder,Sport,13259,4,400,1,7 years,36 to 40,No,No,no change,1,Liability,77979,3,0
May,1,Wednesday,Ford,Urban,Thursday,May,2,Male,Single,29,Policy Holder,Sedan,13260,4,400,1,7 years,31 to 35,No,No,no change,1,All Perils,62166,1,0
Feb,1,Friday,Honda,Urban,Monday,Mar,1,Male,Married,44,Policy Holder,Sport,13261,12,500,3,7 years,36 to 40,No,No,2 to 3 years,1,Liability,38092,2,0
Apr,3,Thursday,Chevrolet,Urban,Monday,Apr,4,Male,Married,63,Policy Holder,Sedan,13262,14,400,3,more than 7,51 to 65,No,No,no change,1,All Perils,39450,4,0
Jun,2,Sunday,Toyota,Urban,Monday,Jun,2,Male,Married,36,Policy Holder,Sport,13263,9,400,2,7 years,36 to 40,No,No,no change,1,Liability,39383,2,0
Jul,1,Saturday,Pontiac,Urban,Tuesday,Jul,2,Male,Single,22,Policy Holder,Sedan,13264,3,400,4,5 years,26 to 30,Yes,No,no change,1,All Perils,7721,3,1
Feb,4,Friday,Pontiac,Urban,Monday,Feb,5,Male,Married,58,Policy Holder,Sport,13265,8,400,4,more than 7,51 to 65,No,No,no change,1,Liability,36323,3,0
Jul,3,Friday,Toyota,Urban,Wednesday,Jul,3,Female,Married,52,Policy Holder,Sedan,13266,8,400,2,6 years,41 to 50,No,No,no change,1,All Perils,5672,1,0
Aug,1,Wednesday,Honda,Urban,Monday,Aug,2,Female,Single,29,Third Party,Sedan,13267,5,400,4,6 years,31 to 35,No,No,no change,1,All Perils,18828,0,0
Jul,3,Wednesday,Pontiac,Rural,Friday,Jul,4,Female,Widow,45,Policy Holder,Sedan,13268,6,400,1,5 years,36 to 40,No,No,no change,1,Collision,5088,0,0
Nov,3,Wednesday,Mazda,Urban,Thursday,Nov,3,Male,Married,51,Policy Holder,Sport,13269,4,700,3,7 years,41 to 50,No,No,no change,1,Liability,23871,3,0
Jun,3,Wednesday,Toyota,Urban,Friday,Jun,5,Male,Married,52,Third Party,Sedan,13270,9,400,4,more than 7,41 to 50,No,No,no change,1,All Perils,24186,0,0
Mar,3,Saturday,Honda,Urban,Thursday,Mar,4,Male,Married,42,Policy Holder,Sport,13271,5,400,1,7 years,36 to 40,No,No,no change,1,Liability,20068,4,0
Oct,3,Tuesday,VW,Urban,Wednesday,Oct,3,Male,Married,53,Policy Holder,Sport,13272,2,400,1,7 years,41 to 50,No,No,no change,1,Liability,FALSE,2,0
Nov,4,Thursday,Mazda,Urban,Thursday,Nov,5,Female,Single,27,Policy Holder,Sport,13273,7,400,4,6 years,31 to 35,No,No,4 to 8 years,2,Liability,28916,4,0
Apr,1,Sunday,Honda,Urban,Tuesday,Apr,1,Male,Married,37,Third Party,Sport,13274,9,400,3,7 years,36 to 40,No,No,no change,1,Liability,28715,4,0
May,1,Tuesday,Pontiac,Urban,Wednesday,May,1,Male,Single,34,Policy Holder,Sedan,13275,4,400,2,6 years,31 to 35,No,No,no change,1,Collision,33661,1,0
Apr,2,Thursday,VW,Urban,Tuesday,Apr,2,Male,Single,60,Third Party,Sedan,13276,8,400,1,more than 7,51 to 65,No,No,no change,1,All Perils,92527,0,0
Aug,2,Monday,Pontiac,Urban,Tuesday,Aug,2,Male,Married,26,Policy Holder,Sedan,13277,9,400,2,6 years,31 to 35,No,No,no change,1,All Perils,26175,4,0
Dec,3,Thursday,Pontiac,Rural,Sunday,Jan,1,Male,Married,54,Third Party,Sport,13278,7,400,4,more than 7,41 to 50,No,No,no change,1,Liability,25841,7,0
Jul,1,Monday,Pontiac,Rural,Wednesday,Jul,2,Male,Single,34,Third Party,Sedan,13279,10,400,3,6 years,31 to 35,No,No,no change,1,All Perils,28097,0,0
Jul,5,Monday,Mazda,Urban,Wednesday,Aug,1,Female,Single,24,Third Party,Sedan,13280,1,400,4,4 years,26 to 30,No,No,no change,1,All Perils,24495,1,0
Jul,4,Tuesday,Chevrolet,Urban,Wednesday,Jul,4,Male,Married,41,Third Party,Sport,13281,15,400,4,more than 7,36 to 40,No,No,no change,1,Liability,32316,1,0
Jan,2,Wednesday,Toyota,Urban,Thursday,Jan,2,Male,Married,36,Policy Holder,Sport,13282,1,400,3,6 years,36 to 40,No,No,no change,1,Liability,25190,7,0
May,4,Monday,Mazda,Urban,Monday,May,4,Male,Single,43,Policy Holder,Sport,13283,8,400,3,7 years,36 to 40,No,No,no change,1,Liability,37159,5,0
Mar,5,Wednesday,Mazda,Urban,Wednesday,Apr,1,Male,Married,37,Third Party,Sport,13284,14,400,2,7 years,36 to 40,No,No,no change,1,Liability,28249,1,0
Apr,3,Sunday,Pontiac,Urban,Monday,Apr,3,Male,Married,26,Policy Holder,Sedan,13285,3,400,3,7 years,31 to 35,No,No,no change,4,Collision,34165,1,0
Jun,1,Thursday,Mercury,Urban,Monday,Jun,1,Male,Married,47,Policy Holder,Utility,13286,12,400,4,more than 7,41 to 50,No,No,no change,1,Collision,27149,8,0
May,3,Monday,Mazda,Urban,Tuesday,May,3,Male,Married,34,Third Party,Sedan,13287,6,400,3,7 years,31 to 35,No,No,1 year,1,Collision,29439,0,0
May,3,Monday,Chevrolet,Urban,Wednesday,May,3,Male,Married,40,Third Party,Sedan,13288,11,400,2,5 years,36 to 40,No,No,no change,1,All Perils,36154,0,0
Sep,4,Friday,Honda,Urban,Tuesday,Sep,4,Male,Married,34,Policy Holder,Sedan,13289,4,400,1,6 years,31 to 35,No,No,no change,1,Collision,22927,1,0
Sep,4,Saturday,Pontiac,Urban,Monday,Oct,1,Male,Married,41,Third Party,Sport,13290,16,400,1,7 years,36 to 40,No,No,no change,1,Liability,25087,0,0
Nov,5,Monday,Accura,Urban,Wednesday,Nov,5,Male,Married,31,Policy Holder,Sedan,13291,10,400,2,7 years,31 to 35,No,No,no change,1,All Perils,33205,3,0
Nov,1,Saturday,Mazda,Urban,Monday,Nov,5,Male,Married,54,Policy Holder,Sedan,13292,6,400,3,more than 7,41 to 50,Yes,No,no change,1,Collision,32075,3,0
Nov,1,Friday,Mazda,Urban,Friday,Nov,2,Male,Single,30,Third Party,Sedan,13293,4,400,2,6 years,31 to 35,No,No,no change,1,Collision,84245,4,0
Dec,5,Wednesday,Honda,Rural,Thursday,Jan,1,Female,Single,28,Third Party,Sedan,13294,7,400,2,5 years,31 to 35,No,Yes,4 to 8 years,2,Collision,24805,2,0
Dec,4,Monday,Pontiac,Urban,Monday,Jan,1,Male,Married,74,Policy Holder,Sport,13295,11,400,4,more than 7,over 65,No,No,no change,1,Liability,84294,0,0
Mar,3,Thursday,Pontiac,Urban,Thursday,Mar,4,Male,Single,21,Policy Holder,Sedan,13296,4,400,3,3 years,26 to 30,No,No,no change,1,All Perils,12321,0,0
May,3,Thursday,Toyota,Urban,Monday,May,4,Female,Married,47,Policy Holder,Sport,13297,14,400,3,6 years,41 to 50,Yes,No,no change,1,Liability,77957,4,0
May,2,Saturday,Toyota,Urban,Monday,May,3,Male,Married,42,Policy Holder,Sedan,13298,8,400,3,7 years,36 to 40,No,No,no change,1,All Perils,20940,1,0
Jul,1,Monday,Toyota,Urban,Tuesday,Jul,2,Male,Married,53,Policy Holder,Sport,13299,13,400,3,7 years,41 to 50,No,No,no change,1,Liability,23039,2,1
Aug,5,Monday,Honda,Urban,Tuesday,Aug,5,Female,Married,38,Policy Holder,Sport,13300,4,400,2,3 years,36 to 40,No,No,no change,1,Liability,92428,0,0
Aug,4,Friday,Toyota,Urban,Monday,Aug,5,Male,Married,39,Third Party,Sedan,13301,14,400,2,7 years,36 to 40,Yes,No,no change,1,Collision,32025,6,0
Nov,2,Monday,VW,Urban,Friday,Nov,4,Male,Married,52,Policy Holder,Sedan,13302,6,400,1,more than 7,41 to 50,No,No,no change,1,Collision,FALSE,0,0
Sep,4,Friday,Pontiac,Urban,Friday,Sep,4,Male,Married,50,Policy Holder,Sedan,13303,14,400,4,7 years,41 to 50,No,No,no change,1,Collision,34599,3,0
Sep,4,Thursday,Mazda,Urban,Thursday,Sep,4,Male,Married,30,Policy Holder,Sport,13304,16,400,4,6 years,31 to 35,No,No,no change,1,Liability,92802,0,0
Dec,4,Friday,Honda,Urban,Tuesday,Dec,4,Male,Married,53,Policy Holder,Sedan,13305,9,400,2,more than 7,41 to 50,No,No,no change,1,All Perils,23989,0,0
Dec,3,Wednesday,Pontiac,Urban,Tuesday,Dec,4,Male,Married,49,Policy Holder,Sedan,13306,12,400,1,more than 7,41 to 50,No,No,no change,1,Collision,34500,0,0
Dec,4,Thursday,Mazda,Urban,Tuesday,Dec,4,Male,Married,59,Policy Holder,Sedan,13307,7,400,2,more than 7,51 to 65,No,No,no change,1,All Perils,20850,4,0
Dec,1,Monday,Pontiac,Urban,Thursday,Dec,2,Male,Married,46,Third Party,Sedan,13308,13,400,2,more than 7,41 to 50,No,No,no change,1,Collision,20714,4,0
Sep,4,Saturday,Toyota,Urban,Monday,Sep,4,Female,Married,53,Policy Holder,Sedan,13309,12,400,2,7 years,41 to 50,No,No,no change,1,Collision,26130,0,0
Sep,4,Friday,Chevrolet,Urban,Monday,Sep,4,Male,Married,49,Third Party,Sedan,13310,4,400,1,7 years,41 to 50,Yes,No,no change,1,Collision,33056,0,0
Apr,4,Wednesday,Toyota,Urban,Wednesday,May,2,Male,Single,18,Policy Holder,Sedan,13311,11,400,1,4 years,21 to 25,No,No,no change,1,Collision,20432,10,0
Apr,2,Friday,Toyota,Urban,Wednesday,Apr,2,Female,Single,32,Policy Holder,Sedan,13312,13,500,2,6 years,31 to 35,No,No,2 to 3 years,1,All Perils,25108,6,0
Jul,1,Monday,Pontiac,Urban,Thursday,Jul,1,Male,Married,54,Policy Holder,Sedan,13313,3,400,4,more than 7,41 to 50,No,No,no change,1,All Perils,9190,4,1
Dec,2,Monday,Pontiac,Urban,Wednesday,Dec,3,Female,Married,36,Third Party,Sedan,13314,2,400,2,7 years,36 to 40,No,No,no change,1,Collision,20667,0,0
Oct,4,Tuesday,Honda,Urban,Monday,Oct,5,Male,Single,42,Third Party,Sedan,13315,7,400,1,new,36 to 40,No,No,4 to 8 years,2,Collision,83432,0,0
Sep,4,Thursday,Pontiac,Rural,Wednesday,Sep,5,Male,Married,46,Policy Holder,Sedan,13316,7,400,2,more than 7,41 to 50,No,No,no change,1,All Perils,7543,2,0
Aug,5,Wednesday,Mazda,Urban,Wednesday,Sep,2,Male,Married,63,Third Party,Sport,13317,7,400,2,more than 7,51 to 65,No,No,no change,1,Liability,18254,4,0
Jul,1,Tuesday,Pontiac,Urban,Tuesday,Jul,2,Female,Married,60,Third Party,Sedan,13318,8,400,2,more than 7,51 to 65,No,No,no change,1,Collision,30962,3,0
Jan,4,Wednesday,Honda,Urban,Wednesday,Feb,1,Male,Married,76,Third Party,Sport,13319,16,400,2,6 years,over 65,No,No,no change,1,Collision,88378,3,0
Jul,1,Saturday,Honda,Urban,Tuesday,Jan,1,Male,Single,0,Policy Holder,Sedan,13320,6,400,3,new,16 to 17,No,No,no change,1,All Perils,93506,0,0
Jan,1,Sunday,Mazda,Urban,Tuesday,Jan,1,Male,Married,54,Policy Holder,Sedan,13321,13,400,1,more than 7,41 to 50,No,No,no change,1,Collision,73778,0,0
Mar,1,Sunday,Honda,Rural,Tuesday,Mar,2,Male,Married,32,Third Party,Sedan,13322,7,400,4,7 years,31 to 35,No,No,no change,1,All Perils,27019,0,0
Jul,1,Wednesday,Toyota,Urban,Thursday,Jul,2,Male,Married,33,Third Party,Sedan,13323,14,400,2,6 years,31 to 35,No,No,no change,1,Collision,28292,1,0
Apr,1,Saturday,Toyota,Rural,Thursday,May,2,Male,Single,28,Policy Holder,Sedan,13324,16,400,2,7 years,31 to 35,No,No,no change,1,All Perils,27605,0,0
Nov,2,Saturday,Pontiac,Urban,Thursday,Dec,4,Male,Married,76,Policy Holder,Sedan,13325,3,400,3,more than 7,over 65,Yes,No,no change,1,Collision,30265,4,0
Nov,1,Friday,Honda,Urban,Wednesday,Dec,4,Male,Single,73,Policy Holder,Sport,13326,6,400,3,more than 7,over 65,No,No,no change,3,Liability,22543,3,0
Jan,2,Sunday,Honda,Urban,Tuesday,Jan,2,Female,Single,25,Policy Holder,Sedan,13327,5,400,3,3 years,26 to 30,No,No,no change,1,Collision,23307,1,0
Jul,1,Tuesday,Honda,Urban,Friday,Jul,2,Male,Married,69,Third Party,Sport,13328,8,400,2,more than 7,over 65,No,No,no change,1,Collision,71243,2,0
Jul,1,Wednesday,Accura,Urban,Tuesday,Jul,2,Male,Married,43,Third Party,Sedan,13329,13,400,4,more than 7,36 to 40,No,No,no change,1,Collision,32756,0,0
Sep,3,Friday,Chevrolet,Rural,Tuesday,Sep,3,Male,Single,56,Third Party,Sedan,13330,4,400,2,more than 7,51 to 65,No,No,no change,1,Collision,31153,1,0
Sep,3,Saturday,Dodge,Urban,Wednesday,Sep,4,Male,Single,35,Policy Holder,Sedan,13331,10,400,4,6 years,31 to 35,No,No,no change,1,Collision,37977,2,0
Jun,2,Wednesday,Toyota,Urban,Wednesday,Jun,2,Male,Single,38,Policy Holder,Sport,13332,2,400,1,7 years,36 to 40,No,No,no change,1,Liability,26165,0,0
May,2,Monday,Mazda,Urban,Monday,May,3,Male,Married,32,Third Party,Sedan,13333,14,400,4,7 years,31 to 35,No,No,no change,1,All Perils,25288,1,0
May,2,Saturday,Pontiac,Urban,Monday,May,2,Male,Married,62,Third Party,Sedan,13334,11,400,4,more than 7,51 to 65,No,No,no change,1,All Perils,29860,0,0
Nov,3,Tuesday,Mazda,Urban,Wednesday,Nov,3,Female,Single,26,Policy Holder,Sport,13335,8,400,4,6 years,31 to 35,No,No,no change,1,Liability,22661,6,0
Aug,2,Saturday,Pontiac,Urban,Wednesday,Sep,5,Male,Married,60,Policy Holder,Sedan,13336,3,400,1,more than 7,51 to 65,No,No,4 to 8 years,2,Collision,20956,0,0
Aug,2,Thursday,Honda,Urban,Wednesday,Aug,3,Female,Married,23,Third Party,Sedan,13337,6,400,2,5 years,26 to 30,No,No,no change,1,Collision,28676,2,0
Feb,4,Saturday,Honda,Urban,Thursday,Nov,2,Male,Married,60,Policy Holder,Sedan,13338,9,400,1,more than 7,51 to 65,No,No,no change,1,Collision,28815,3,0
Mar,2,Tuesday,Pontiac,Urban,Friday,Mar,2,Male,Married,50,Policy Holder,Sport,13339,10,400,3,7 years,41 to 50,No,No,no change,1,Liability,29369,7,0
Feb,2,Monday,Pontiac,Urban,Thursday,Feb,2,Male,Married,34,Policy Holder,Sedan,13340,14,400,2,6 years,31 to 35,No,No,no change,1,Collision,22072,1,0
Jul,3,Wednesday,Pontiac,Urban,Thursday,Jul,4,Male,Married,39,Policy Holder,Sedan,13341,4,400,4,6 years,36 to 40,No,No,no change,1,All Perils,21092,0,0
Sep,1,Sunday,Chevrolet,Urban,Tuesday,Sep,2,Male,Married,45,Policy Holder,Sport,13342,4,400,1,more than 7,36 to 40,No,No,no change,1,Liability,38704,3,0
Nov,1,Tuesday,Pontiac,Urban,Wednesday,Nov,1,Female,Single,26,Policy Holder,Sport,13343,7,400,1,6 years,31 to 35,No,No,no change,1,Liability,20249,4,0
Jan,1,Wednesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,50,Policy Holder,Sport,13344,1,400,1,7 years,41 to 50,No,No,no change,1,Liability,26123,4,0
May,3,Tuesday,Pontiac,Urban,Tuesday,May,3,Male,Married,51,Policy Holder,Sport,13345,1,400,1,more than 7,41 to 50,No,No,no change,1,Liability,32596,1,0
May,4,Saturday,VW,Urban,Monday,May,5,Male,Married,38,Policy Holder,Sport,13346,7,400,3,6 years,36 to 40,No,No,no change,1,Liability,38595,2,0
Sep,3,Tuesday,Pontiac,Urban,Wednesday,Sep,3,Female,Married,38,Policy Holder,Sport,13347,12,400,1,7 years,36 to 40,No,No,no change,1,Liability,34075,2,0
Sep,5,Saturday,Honda,Urban,Wednesday,Oct,3,Female,Married,45,Policy Holder,Sport,13348,6,400,2,7 years,36 to 40,No,No,no change,1,Collision,77582,0,0
Oct,4,Sunday,Honda,Urban,Tuesday,Oct,4,Male,Married,38,Policy Holder,Sport,13349,9,400,3,7 years,36 to 40,No,No,no change,1,Collision,72464,1,0
Dec,4,Tuesday,Honda,Urban,Tuesday,Dec,4,Female,Single,31,Policy Holder,Sport,13350,9,400,4,5 years,31 to 35,Yes,No,no change,1,Liability,21672,6,0
Jul,1,Thursday,Toyota,Urban,Tuesday,Jul,2,Male,Married,45,Policy Holder,Sedan,13351,10,400,3,more than 7,36 to 40,No,No,no change,1,Collision,7232,0,1
Dec,4,Tuesday,Toyota,Urban,Tuesday,Dec,4,Male,Single,33,Policy Holder,Sedan,13352,14,400,2,6 years,31 to 35,No,No,no change,1,Collision,22266,0,0
Dec,4,Monday,Chevrolet,Urban,Wednesday,Dec,4,Male,Married,49,Policy Holder,Sport,13353,4,400,3,7 years,41 to 50,No,No,no change,1,Liability,24999,1,0
Jul,1,Thursday,Honda,Urban,Wednesday,Jul,2,Male,Married,32,Third Party,Sedan,13354,10,400,1,7 years,31 to 35,Yes,No,no change,1,All Perils,29120,4,0
Oct,1,Tuesday,Ferrari,Rural,Wednesday,Oct,1,Male,Married,43,Policy Holder,Utility,13355,1,400,3,7 years,36 to 40,No,No,no change,1,Collision,FALSE,1,0
Oct,1,Sunday,Honda,Urban,Monday,Oct,1,Male,Married,34,Policy Holder,Sedan,13356,1,400,2,7 years,31 to 35,No,No,no change,1,Collision,39656,0,0
Oct,1,Sunday,Honda,Rural,Friday,Oct,1,Male,Married,56,Third Party,Sedan,13357,11,400,2,more than 7,51 to 65,No,No,4 to 8 years,2,All Perils,29446,1,0
Jul,1,Thursday,Mazda,Urban,Tuesday,Jul,2,Male,Married,23,Third Party,Sport,13358,1,400,2,5 years,26 to 30,No,No,no change,1,Collision,83105,4,0
Sep,5,Saturday,Pontiac,Urban,Wednesday,Oct,1,Male,Single,24,Third Party,Sedan,13359,10,400,4,5 years,26 to 30,No,No,no change,1,All Perils,29686,4,0
Sep,4,Wednesday,Mazda,Urban,Friday,Sep,5,Male,Single,34,Policy Holder,Sedan,13360,12,400,2,6 years,31 to 35,No,No,no change,1,Collision,10801,3,0
Jul,1,Thursday,Honda,Urban,Thursday,Jul,1,Male,Single,46,Policy Holder,Sport,13361,11,400,3,more than 7,41 to 50,No,No,no change,1,Collision,73859,1,1
May,5,Sunday,Mazda,Urban,Thursday,Jun,1,Male,Married,43,Third Party,Sedan,13362,10,700,2,7 years,36 to 40,Yes,No,no change,1,All Perils,32049,0,0
May,4,Thursday,Mazda,Urban,Friday,May,4,Male,Single,33,Policy Holder,Sedan,13363,15,500,4,7 years,31 to 35,No,No,2 to 3 years,1,Collision,23839,0,0
May,4,Friday,Pontiac,Urban,Friday,May,4,Male,Married,38,Policy Holder,Sedan,13364,9,400,4,7 years,36 to 40,No,No,no change,1,Collision,12581,0,0
May,4,Sunday,Mazda,Urban,Tuesday,May,4,Male,Married,47,Third Party,Sedan,13365,10,400,3,7 years,41 to 50,No,Yes,no change,1,Collision,23548,1,0
Jan,3,Sunday,Mazda,Urban,Thursday,Jan,3,Female,Married,42,Policy Holder,Sport,13366,3,400,4,7 years,36 to 40,No,No,no change,1,Liability,39976,3,0
Jan,1,Monday,Honda,Urban,Thursday,Jan,3,Male,Married,35,Policy Holder,Sport,13367,14,400,1,7 years,31 to 35,No,No,no change,3,Liability,38010,3,0
Nov,3,Saturday,Honda,Urban,Friday,Dec,1,Male,Married,33,Third Party,Sport,13368,9,400,4,7 years,31 to 35,No,No,no change,1,Liability,22973,4,0
Jul,2,Friday,Pontiac,Urban,Tuesday,Jul,2,Male,Married,35,Third Party,Sedan,13369,6,400,1,6 years,31 to 35,No,No,no change,1,Collision,34682,4,0
Nov,3,Thursday,Pontiac,Urban,Friday,Nov,3,Male,Married,30,Policy Holder,Sedan,13370,14,400,1,7 years,31 to 35,No,No,no change,1,Collision,38334,4,0
Sep,1,Saturday,Honda,Urban,Tuesday,Sep,1,Male,Single,27,Policy Holder,Sedan,13371,16,400,4,6 years,31 to 35,No,No,no change,1,Collision,29214,1,0
Jul,4,Friday,Pontiac,Urban,Monday,Aug,1,Male,Married,54,Policy Holder,Sedan,13372,12,400,1,more than 7,41 to 50,No,No,no change,1,Collision,FALSE,0,0
Jul,2,Friday,Honda,Rural,Monday,Jul,2,Male,Married,47,Third Party,Sedan,13373,15,400,3,more than 7,41 to 50,Yes,No,no change,1,Collision,28492,3,0
Mar,3,Monday,Honda,Urban,Monday,Mar,3,Male,Married,41,Policy Holder,Sport,13374,3,400,4,7 years,36 to 40,No,No,no change,1,Liability,36616,3,0
Mar,2,Monday,Mazda,Urban,Tuesday,Mar,2,Male,Married,33,Third Party,Sedan,13375,3,400,2,7 years,31 to 35,No,No,no change,1,Collision,26979,4,0
Apr,2,Tuesday,Saab,Urban,Wednesday,Apr,2,Male,Single,29,Third Party,Sedan,13376,6,400,1,6 years,31 to 35,No,No,no change,1,Collision,39564,0,0
Jan,3,Wednesday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,55,Policy Holder,Sedan,13377,5,400,4,7 years,41 to 50,No,No,no change,1,All Perils,17157,0,0
Jan,2,Thursday,Mazda,Urban,Wednesday,Jan,3,Male,Married,40,Policy Holder,Sedan,13378,13,400,2,more than 7,36 to 40,No,No,1 year,2,Collision,20464,1,0
May,2,Monday,Pontiac,Urban,Wednesday,May,4,Male,Married,44,Third Party,Sedan,13379,15,400,2,6 years,36 to 40,No,No,no change,1,All Perils,15644,1,0
Jun,3,Friday,Ford,Rural,Monday,Jun,3,Male,Married,65,Policy Holder,Sedan,13380,7,400,1,more than 7,51 to 65,No,No,no change,1,Collision,FALSE,4,0
Oct,1,Sunday,Honda,Rural,Thursday,Oct,4,Male,Married,68,Policy Holder,Sedan,13381,3,400,3,more than 7,over 65,No,No,no change,1,Collision,82882,1,0
Sep,3,Friday,Chevrolet,Rural,Friday,Sep,4,Male,Married,26,Policy Holder,Sport,13382,9,400,1,6 years,31 to 35,No,No,no change,1,Liability,25175,3,0
Oct,5,Saturday,Pontiac,Urban,Monday,Oct,5,Female,Single,42,Policy Holder,Sport,13383,12,400,2,more than 7,36 to 40,No,No,no change,1,Liability,21820,10,0
Oct,5,Sunday,Toyota,Urban,Tuesday,Jan,4,Male,Single,26,Policy Holder,Sedan,13384,15,400,3,6 years,31 to 35,No,No,no change,1,All Perils,26238,1,0
Apr,3,Friday,Honda,Urban,Monday,Apr,4,Male,Single,43,Policy Holder,Sedan,13385,7,400,1,6 years,36 to 40,No,No,no change,1,Collision,27691,0,0
Nov,3,Wednesday,Toyota,Rural,Thursday,Nov,3,Female,Married,37,Third Party,Sedan,13386,15,400,3,6 years,36 to 40,No,No,no change,1,Collision,26569,0,0
Nov,2,Saturday,Honda,Rural,Tuesday,Nov,3,Male,Single,35,Policy Holder,Sedan,13387,11,400,4,6 years,31 to 35,No,No,no change,1,Collision,34174,4,0
Apr,5,Friday,Honda,Urban,Wednesday,May,1,Male,Married,38,Third Party,Sport,13388,7,400,3,7 years,36 to 40,No,No,no change,1,Liability,30032,1,0
Jul,2,Friday,Ford,Urban,Monday,Jul,3,Male,Married,56,Third Party,Sedan,13389,7,400,4,more than 7,51 to 65,No,No,no change,1,All Perils,34203,1,0
